Number,score_0,score_1,score_2,score_3,score_4,similar_0,similar_1,similar_2,similar_3,similar_4
17141,0.848801971878058,0.851339128070705,0.852506951077218,0.852811403587504,0.862168386680741,15670,14600,3302,15573,5256
17140,0.957618474933594,0.957806129841297,0.959023314539543,0.960674804538682,0.966515816106838,16850,16845,16849,16913,17139
17139,0.951826832624435,0.953004575534996,0.954142326447848,0.962636973551898,0.966515816106838,17024,16913,17026,16915,17140
17138,0.900761769003146,0.905475799582859,0.908222825235639,0.913439802787021,0.994926789617799,14133,5024,15719,13794,17137
17136,0.932679528923659,0.933894409846933,0.93392628452599,0.940736849649028,0.941783120796651,17143,17144,17040,15892,17142
17135,0.919742938860305,0.924142498143747,0.932223784539615,0.935967687447658,0.941813780946465,1434,9824,15690,15482,16819
17134,0.964688847125032,0.971483260766647,0.971725860360268,0.986329816646798,0.989653645612041,17059,17017,17122,17119,17145
17133,0.962032291218567,0.965361255432508,0.96542553411131,0.973316896957148,0.976637931785876,17122,17145,17119,17128,17132
17132,0.94398477093814,0.944360059631872,0.947117517007663,0.976637931785876,0.997182338649591,17017,17122,17018,17133,17128
17131,0.786182150060872,0.788842433287632,0.797016631095005,0.79832936091399,0.815748807756505,9961,16320,15780,14829,11691
17130,0.847655954226944,0.855068944920513,0.856855070353611,0.857692159915788,0.881086770275632,9830,16106,1515,7826,16228
17129,0.922467680345552,0.922545082369834,0.922825308026791,0.924076043843811,0.92555504519305,16871,3911,15865,16100,16715
17128,0.940213572733269,0.940925189104235,0.944703835674567,0.973316896957148,0.997182338649591,17017,17122,17018,17133,17132
17126,0.883268800113034,0.883297128772337,0.886939209242953,0.887064628573819,0.890013941169876,528,6848,7665,671,1758
17124,0.843136890334288,0.851889797651836,0.86176368042107,0.873914976807382,0.878294380328531,689,9453,135,4636,10854
17123,0.936587816339127,0.937890634991388,0.942827821450341,0.9480667153921,0.953141585597098,16049,16703,17110,16655,17061
17122,0.966394108513597,0.968903266668294,0.971725860360268,0.974697118804504,0.995979864780494,17018,17119,17134,17145,17017
17121,0.704414079944545,0.718684787786754,0.723915931619581,0.739470127679739,0.774164684247842,2685,16773,4133,12515,8444
17120,0.910391597391066,0.910391651475812,0.910391651475812,0.910391651475812,0.910391651475812,13030,4730,1027,769,374
17119,0.968903266668294,0.970423803309577,0.975233011257149,0.986329816646798,0.986407709344041,17122,17017,17150,17134,17145
17118,0.885346989385363,0.887656327230894,0.888451231893274,0.90052217283312,0.902196272708037,2859,16517,14395,13103,15164
17117,0.926487240171275,0.927440981937551,0.928089385984143,0.93014862899788,0.930365951657226,7162,15124,16870,7851,6129
17116,0.948548548649716,0.948760890346234,0.948967818141159,0.951115222515311,0.957409541429904,17134,17017,17119,17145,17122
17115,0.889751709008039,0.889919629319574,0.890672759741246,0.896815792996132,0.903467614025328,6832,2762,14899,12524,3056
17114,0.865939606542426,0.872392827059579,0.872392827059579,0.873396949323026,0.873900979734843,490,17072,17071,17073,11266
17113,0.923491557622449,0.923511041338347,0.924906518874178,0.930084502368624,0.944036613532347,16807,16905,15892,16855,16928
17111,0.916790991233606,0.917421577163871,0.92118668223043,0.9276556787062,0.938899493815267,16842,16893,16843,17008,12719
17110,0.947445129309125,0.947561387002336,0.948609044212753,0.949122369488918,0.955440438710669,16855,16655,16402,17032,17061
17109,0.767772947382324,0.770440510340216,0.772397890393495,0.77263094590998,0.794014378795985,5002,10345,17051,7852,13336
17108,0.949555055160339,0.950048767388178,0.951263274351521,0.951363984224671,0.956334598411166,16935,16879,16913,17163,16846
17107,0.886340940678762,0.888061158173639,0.888107243201889,0.890660004473424,0.891321805493668,4486,16496,4493,9138,10662
17100,1.0,1.0,1.0,1.0,1.0,17179,17178,14157,13618,11589
17099,0.954538033574342,0.954820848380403,0.955437390666398,0.957425770678059,0.960318948768077,17134,17059,17145,17122,17017
17098,0.675901223190837,0.677139442771074,0.705958560786064,0.711799612973795,0.713988260810178,8781,14083,13324,424,287
17096,0.888157942527871,0.888432553441505,0.888508135613528,0.892944888601962,0.893253385866706,3798,15253,8005,11846,12406
17094,0.91008207293758,0.918464819594091,0.918612934372227,0.91974423528565,0.928657135963851,15496,15892,17163,16905,17020
17093,0.84066712687282,0.842266141538975,0.842976057379662,0.844688053402752,0.853179054645669,10391,14316,11570,2245,4938
17091,0.787130392568975,0.787555991636559,0.789449410281778,0.789998071150367,0.807065838631344,10332,1648,1715,11092,13252
17090,0.85009949451082,0.851332195263888,0.869106122307102,0.887362001329922,0.89605538979629,2416,2547,5497,15846,8486
17089,0.91429064353177,0.915373427219509,0.926493547323269,0.937685437899739,0.946416740307718,11561,14612,12853,10052,9463
17088,0.903640654701688,0.909313855076778,0.914622340671837,0.915584148357531,0.924337078027156,11469,13467,11938,10734,8795
17087,0.855451133606269,0.856043811727262,0.856176191110257,0.884072081691679,0.892276573261223,13502,10953,8786,13380,11366
17086,0.919494648325512,0.919513125178446,0.920874344676961,0.925028855901636,0.933809214442368,15173,16842,1314,15885,16893
17085,0.862880673790908,0.864734201898388,0.87040016962845,0.883158562400267,0.886157975069354,8259,15896,3180,15154,3323
17084,0.977766116806266,0.978614046205755,0.978706236650819,0.986661454237907,0.98984672513048,17068,17082,17080,16934,17006
17083,0.999287691278049,0.999365369127994,0.999698733789266,1.0,1.0,16911,16906,16908,17081,16910
17082,0.998173164327165,0.998348592212878,0.998486784967527,0.998678280073225,0.998742080063544,17081,16906,16911,17076,17080
17081,0.999287691278049,0.999365369127994,0.999698733789266,1.0,1.0,16911,16906,16908,17083,16910
17080,0.997193475867355,0.997235594237043,0.997436810372627,0.997509537677693,0.998742080063544,17161,17064,17076,16911,17082
17079,0.872252797562649,0.877966256404752,0.888979991812996,0.893113448026309,0.897481841123598,15317,13452,14711,15251,11243
17078,0.785296396597378,0.787872445337571,0.78961736464707,0.801520657228483,0.807743704545305,1106,1857,13416,10373,10376
17077,0.918157273507218,0.918420194255516,0.920031354440978,0.920933295285073,0.920933295285073,17015,17119,17018,17056,17054
17076,0.999044266781046,0.999044266781046,0.999176114807658,0.999265391363857,0.99932055014845,17081,16910,16911,16906,17044
17075,0.895037281558363,0.895608235089876,0.902100953946498,0.91026522105298,0.922738690563801,16623,16812,14143,16548,16573
17074,0.918175953526231,0.918902522589254,0.920934833478735,0.921498338937227,0.928587746724331,2568,2845,1511,1697,15306
17073,0.91597746661256,0.922372590136935,0.928598155393924,0.997922234475493,0.997922234475493,7017,12730,62,17072,17071
17072,0.916820909383367,0.923651608740904,0.92952304904426,0.997922234475493,1.0,17028,12730,62,17073,17071
17071,0.916820909383367,0.923651608740904,0.92952304904426,0.997922234475493,1.0,17028,12730,62,17073,17072
17070,0.900068508255283,0.904337386005244,0.905233529988813,0.907336360991898,0.911415220330113,16870,12008,6573,16019,8191
17069,0.993440736341085,0.995242752976748,0.995242752976748,0.995242752976748,0.995242752976748,16920,17156,17155,16891,16890
17068,0.987752995396084,0.988650027826882,0.98898080319836,0.990434725737328,0.990459367646875,17082,17080,17151,17064,17161
17067,0.889460817477747,0.89221407405691,0.89302873512166,0.894726333392643,0.895452755122278,11258,828,1381,9436,3812
17066,0.820545359155822,0.822615853572524,0.822719369687217,0.829925463082783,0.835167138055683,7339,4951,6590,192,10208
17065,0.910435906891289,0.913114245321262,0.913136116670453,0.913163068010966,0.916520631933867,15742,15221,13451,2165,13245
17064,0.997235594237043,0.997411717638,0.99792071279665,0.998022030681348,0.999119018149103,17080,16906,17151,17082,17161
17063,0.801606640093831,0.80615179053647,0.806982967104219,0.809360569279854,0.809688447034335,465,6803,5498,8054,10453
17062,0.954570352460186,0.954923355809173,0.957974338032445,0.960662497882504,0.960856677181496,16851,16847,16882,16880,16879
17061,0.944348929656927,0.945388222014891,0.953141585597098,0.955440438710669,0.955575895406378,17032,16067,17123,17110,16877
17060,0.890944088118489,0.892403354144509,0.896154024139143,0.906792855597312,0.910150532157855,6905,7460,7727,11264,11189
17059,0.954820848380403,0.956360264570438,0.964688847125032,0.966015290830672,0.967477227316574,17099,17150,17134,17145,17119
17058,0.893259690989987,0.894072554095179,0.89689645226657,0.897436568426128,0.910703229601181,17084,17068,17136,16019,17057
17057,0.96850304109875,0.968527292952841,0.96948407689708,0.970825423949819,0.97110510920383,17082,17161,17080,17084,17068
17056,0.950395158032256,0.950395158032256,0.9519097798578,0.954516795500417,1.0,17043,17042,17119,17015,17054
17055,0.822472789901259,0.824367112142325,0.825622240199784,0.833685246142522,1.0,2528,3839,17146,7198,17016
17054,0.950395158032256,0.950395158032256,0.9519097798578,0.954516795500417,1.0,17043,17042,17119,17015,17056
17052,0.884674077614727,0.885058640019472,0.885865789626635,0.890135745405624,0.922881767375477,3140,3193,16381,13404,16886
17051,0.730590182540111,0.733414824673018,0.73345752802537,0.772397890393495,0.855450785458893,13882,36,5202,17109,13336
17050,0.914819139728263,0.914911257170533,0.919770834351057,0.923303228485787,0.930638379368647,6217,16594,17123,17061,16877
17049,0.823160197062495,0.823907676697017,0.826287885063353,0.832550522476981,0.848033390728002,10227,10989,11696,13396,10336
17044,0.998610468867542,0.998663118627054,0.998801826861448,0.998986119271364,0.99932055014845,16910,16904,16908,16906,17076
17043,0.948490154165473,0.948628333166394,0.950395158032256,0.950395158032256,1.0,17099,17150,17056,17054,17042
17042,0.948490154165473,0.948628333166394,0.950395158032256,0.950395158032256,1.0,17099,17150,17056,17054,17043
17041,0.893926462857357,0.893926462857357,0.893926462857357,0.893926462857357,0.904926188567318,5002,788,779,297,916
17040,0.985915899634207,0.986845961105,0.987086036242927,0.988276345859838,0.98942589040172,17030,16850,16882,16880,16935
17039,0.937509973448694,0.937753801697116,0.938105329944018,0.939453646523216,0.949345305897448,17040,16851,16880,17160,16848
17038,0.92708068076568,0.935719221834471,0.938120854116822,0.939455343050019,0.943548547615871,17140,17163,16900,16871,16841
17037,0.865510697541074,0.865637841118943,0.865814519633524,0.866242509991288,0.901735711231688,14406,15792,14453,3545,15167
17036,0.77204388057836,0.776886597319873,0.777333059659024,0.78166047039834,0.786279085718315,3143,14616,9623,8778,11174
17035,0.925551923216042,0.926780617918761,0.928986605292761,0.932230185033432,0.935936532429183,15268,14866,15396,16194,10233
17034,0.869404340185668,0.8715800627614,0.87563537090805,0.881039052591611,0.89781013311758,2472,12456,1698,7713,9024
17033,0.802865806113679,0.803930499530419,0.809908005657184,0.82058198575335,0.834079960596439,8816,4739,367,2237,13895
17032,0.949441277336255,0.950117201946802,0.950567485414243,0.952271900508191,0.961724239976254,16540,16583,16596,15868,16655
17031,0.936156847009657,0.936201976701301,0.936245067475579,0.936318735105821,0.939523481485047,16877,16702,16710,10263,16609
17030,0.989018786033581,0.989108891882648,0.989285945440615,0.993016453711608,0.995898428108402,16850,16851,16847,17170,16882
17029,0.930198061675904,0.937325180806265,0.940026514638762,0.940167126291412,0.940167126291412,17150,17119,17099,17043,17042
