Number,W2V_fasttext_0,W2V_fasttext_score0,W2V_fasttext_1,W2V_fasttext_score1,W2V_fasttext_2,W2V_fasttext_score2,W2V_fasttext_3,W2V_fasttext_score3,W2V_fasttext_4,W2V_fasttext_score4
13170,5298,0.999929487799233,13991,0.9999303789782658,15093,0.9999310043085485,9278,0.9999316962074046,2023,0.9999333487773118
13169,1272,0.9998762749602759,436,0.999887981517158,325,0.9998987490712856,6372,0.9999038564763205,6576,0.9999379860392955
13168,2171,0.9999980310195805,12051,0.9999987545369993,4978,0.9999995459056747,7860,0.9999998488647187,12466,0.9999999998791295
13167,8900,0.99990623001996,13242,0.999907009980142,16500,0.9999330350793304,7975,0.9999744175894594,4289,0.9999924781314845
13166,13688,0.9999997429196595,13479,0.9999997429196595,10576,0.9999997644249975,12967,1.0,12520,1.0
13165,8868,0.9999256643937594,13643,0.9999309248376302,16006,0.9999329288790864,14709,0.9999362914942236,12176,0.9999396497528348
13164,4340,0.9998143194625387,14291,0.9998197411746466,14053,0.9998349157197444,12627,0.999845538127526,877,0.9998460425920849
13163,15455,0.9999215649987752,16411,0.99992203477717,3587,0.9999234927282906,263,0.9999235332120984,14436,0.9999319573307619
13162,8435,0.9997540228477864,13567,0.999756019939459,4299,0.9997563154120922,2455,0.9997565152662519,11887,0.9997578973303743
13161,11519,0.9999999762819826,13978,0.9999999762858683,12716,0.999999977785753,11305,0.9999999999999971,12038,0.9999999999999998
13160,13146,0.999989112443364,11695,0.9999993450526908,11011,0.9999993450526908,11009,0.9999999762239781,15803,0.9999999773122469
13159,14376,0.9999608370995716,11952,0.9999608682932254,7890,0.9999624215937992,1463,0.9999637957045057,7444,0.9999877317441808
13158,13439,0.9999937525496534,5479,0.9999937904683118,4066,0.9999967406634599,4219,0.9999972740089492,5955,0.9999999846583507
13157,12135,0.999925166127383,10932,0.9999256036011874,14985,0.9999260408064407,13743,0.999937212529864,11004,0.999988240266266
13156,3584,0.999833535413005,8288,0.9998340712049597,6626,0.9998345745387077,15963,0.9998350583409584,11069,0.9998358584138933
13155,16218,0.6738478023409281,7866,0.674728996039781,7884,0.6793019196274904,10056,0.6825774157025867,2931,0.7610762325281876
13154,3276,0.9996616689914954,3139,0.9996670965538438,2247,0.9996756932246844,5828,0.9996957202132656,4263,0.9997487612567991
13153,14809,0.9999993794097746,13342,0.9999996378726644,3319,0.9999996834360121,5982,0.9999997601451698,5277,0.9999999239803365
13152,5656,0.8482368869726719,11145,0.848240327140139,12871,0.999029385833441,14200,0.999964235088041,3386,0.999966297417969
13151,6951,0.999533611556783,10260,0.9997739080696265,9406,0.9997765682360269,12618,0.999883910617447,2574,0.9999396489212168
13150,11762,0.9999957581602094,11891,0.9999974361493762,13062,0.999998951837649,16698,0.9999991903988689,13352,0.9999998827290586
13149,12222,0.5235163601413801,12247,0.5255692939252739,12294,0.5283735512031762,5468,0.9999700723901155,16545,0.9999807773056956
13148,15156,0.9994918786700969,1802,0.999681031811053,8509,0.9997132896604376,2725,0.9997199269206918,5618,0.9997314512970088
13147,10401,0.9998318696201197,16410,0.9998353687617345,5371,0.9999131344596214,5206,0.9999567826278376,9026,0.999999156736089
13146,11011,0.9999831168353158,11009,0.9999880711017769,13160,0.999989112443364,15803,0.9999900837615354,15620,0.9999936590034771
13145,2296,0.9999978002084288,2702,0.9999981501591052,2350,0.9999989132353013,15632,0.9999992294166166,3291,0.9999998990368114
13144,4740,0.45289101268197174,2354,0.4559373676422623,17092,0.460343932975171,3725,0.4721945840329871,15246,0.5162027202379736
13143,3381,0.999922464648471,14939,0.9999253831987666,13107,0.999927752883671,15357,0.999929139334128,14422,0.9999412894889922
13142,11662,0.9999991423115578,5281,0.9999991844545948,12460,0.9999995475462606,3813,0.9999996962600456,13770,0.9999999920449908
13141,13961,0.9999247110081804,14298,0.9999705565312004,14265,0.999977621795792,13258,0.9999955867223748,13586,0.9999981506484917
13140,5064,0.9998140304516453,10702,0.9998161225739347,6626,0.9998163789325917,2783,0.9998783906227332,3909,0.9999884225947739
13139,1463,0.999911913071813,11952,0.9999123432006901,7890,0.9999141587377965,14376,0.9999183041976237,9079,0.9999218289920375
13138,9635,0.9999974745654463,1924,0.9999997072264711,4427,0.9999999684060364,10923,1.0,3654,1.0
13137,12891,0.9980680466884054,8241,0.9980967823336648,9768,0.9981162327376063,10382,0.9981408209302922,4910,0.9982208794791761
13136,13616,0.999999797809823,14595,0.999999817968037,2664,0.99999988779012,16628,0.9999999575319356,7624,0.9999999774126598
13135,4275,0.9999761478376589,3511,0.9999764173869242,11564,0.9999768473037256,2398,0.9999769067148153,1619,0.9999769298546208
13134,6515,0.9999047674181922,13522,0.9999161054509945,7561,0.9999267286095064,8809,0.9999937007054441,10883,0.9999984202852072
13133,4285,0.9999524940272061,16438,0.9999643579661728,11776,0.999983178447283,1998,0.9999960838588516,11015,0.9999962117510497
13132,14909,0.9999271649013366,13123,0.9999281046437208,6821,0.9999291978406384,8440,0.9999300331544748,17004,0.9999379634251935
13131,10989,0.9999913957682802,13606,0.9999940517601473,11262,0.9999959147402382,12496,0.9999982324260113,11014,0.9999998145217908
13130,14400,0.9999511846588662,13502,0.9999513477173516,9176,0.9999515695993003,16040,0.9999536747714438,14921,0.9999545323191292
13129,15771,0.9999999979478124,15465,0.9999999979478124,13954,0.9999999979478124,11963,0.9999999979545986,14741,0.9999999999997958
13128,9725,0.9999900453237396,15494,0.9999905925603965,15352,0.9999910153640673,9794,0.9999922835706181,5861,0.9999929682602822
13127,16176,0.9999986028871395,13039,0.9999989748431085,14747,0.9999989750364708,16165,0.9999997897735663,15708,0.9999999682685116
13126,10619,0.9999405378938108,12797,0.9999627741307034,756,0.9999713018250166,3982,0.9999846782115241,3162,0.999999849747132
13125,5740,0.9981489973388898,11308,0.9998524437027941,4879,0.9999451093554192,7494,0.9999576692446249,10465,0.9999595154555143
13124,16347,0.9999983490444061,14497,0.9999994724325824,5419,0.9999996881410843,16567,0.9999997180082211,11733,0.9999999789868328
13123,4011,0.9999938407329265,8224,0.9999941050033128,734,0.9999941251403688,2805,0.9999942395357104,271,0.9999943612474578
13122,13106,0.9999850515035014,11706,0.9999850515035014,15783,0.9999865401454049,13925,0.9999865401454049,13816,0.9999865401454049
13121,6669,0.9999854815683515,5565,0.9999907102693353,7126,0.9999907213546353,10198,0.9999938948319752,9537,0.9999939722074621
13120,1627,0.9998350211293473,6600,0.999842401008001,13264,0.9998493008188645,14807,0.999863303792939,12910,0.999866791969013
13119,16833,0.9999879739925883,14096,0.9999892883944056,13896,0.9999920906038072,14405,0.9999932522691263,14459,0.9999983330664017
13118,5064,0.9998392788332289,6626,0.999839448810424,13830,0.9998406913411164,10702,0.9998420070449463,15963,0.999843379885753
13117,1859,0.9998985275677369,3505,0.9999252580650934,13854,0.9999683708076945,12533,0.999978442428411,11158,0.999984029080746
13116,8669,0.999956584036665,15588,0.9999718617274983,16937,0.9999798352874794,9552,0.9999870013253007,17167,0.9999942291659609
13114,4179,0.48256581883122585,4336,0.5093983738392877,3583,0.5125628600362041,9854,0.5596890188151246,13799,0.561820278076776
13113,598,0.9964662166622942,1259,0.996536490570162,1632,0.9965468133741443,2867,0.9966345923715791,3875,0.9968805362911648
13112,14582,0.999969009472565,15775,0.9999855065662836,422,0.9999884531247409,8536,0.9999889981232444,14343,0.9999895667388887
13111,15979,0.998413663297766,1120,0.9984202080157671,8953,0.9984988479840665,1613,0.9985486359043267,6692,0.9986521221179054
13110,8417,0.7286328392229007,11107,0.857552637998469,11987,0.9605156351027397,12893,0.9757845580750236,15358,0.9859086490974662
13109,7155,0.6937145023107744,8791,0.7103340765170613,293,0.7259545080074659,5768,0.9993701617762546,8404,0.9999075076954966
13108,6844,0.9999922215954841,1701,0.9999922296447075,9126,0.9999922329067845,6158,0.9999924737913137,17013,0.999992958833812
13107,12953,0.9999288472874687,14939,0.9999289919378104,14422,0.9999303201137899,14337,0.9999319116753036,15357,0.9999350030967412
13106,13535,0.999998789968851,13533,0.999998789968851,13532,0.999998789968851,12661,0.999998789968851,11706,1.0
13105,11047,0.9620321521975155,4990,0.9627160825969855,8785,0.9635385945811954,391,0.9648607879683807,8194,0.9866357735057942
13104,13175,0.9977404574201623,7917,0.9994533183578037,2732,0.9996467897103007,8491,0.9997145471358405,16160,0.9997817213797751
13103,10942,0.9975601489723778,14536,0.9976007817321627,10424,0.997631843339751,15527,0.9976845625845199,14725,0.9978153336467643
13102,15512,0.9772707677145129,3083,0.9774698237059875,1479,0.9775479403385482,6513,0.9781600355719914,6085,0.978679974245841
13101,4136,0.9604049156774308,3829,0.9610162152401684,5454,0.9612231097475272,5391,0.961893601890814,4279,0.9630543442501991
13100,13131,0.9999007858804563,11262,0.9999367552455757,7818,0.9999509257569256,11039,0.9999879684922133,11045,0.9999976076020144
13099,4121,0.6613532379733124,2160,0.6666803749798061,213,0.6768779953375037,15097,0.9999557972725847,14260,0.9999616224600364
13098,6088,0.9997423057723401,14043,0.9997443893480783,705,0.9997504114344643,5296,0.9997535744292758,3257,0.999776278438121
13097,14817,0.9999577823264896,6760,0.9999591682385899,16303,0.9999614527490459,15534,0.9999630106019207,6303,0.9999699790046516
13096,13083,1.0,13019,1.0,13017,1.0,13016,1.0,11718,1.0
13095,16282,0.9999877894067792,1322,0.999988017695622,12969,0.9999882820449525,10369,0.9999992609042,8460,0.9999997841870062
13094,13201,0.9999359341136287,14980,0.9999438506347713,12107,0.9999461725664168,6420,0.9999485390445692,11657,0.9999578275326898
13093,7056,0.9997028814971517,6084,0.9997142377634209,13389,0.9997771066040272,7626,0.9997910696408161,10645,0.9998012991033491
13092,14698,0.9998022916845667,3774,0.9998046468099483,17044,0.9998057637851233,2639,0.9998081887757126,3456,0.9998130280212002
13091,2474,0.8522960014775701,13911,0.8529734663743603,572,0.8550947613535148,4162,0.9994879539375185,10347,0.9999621563689104
13090,3968,0.9998381049143913,4367,0.9999405143342801,11022,0.9999474572488594,10728,0.999981068166731,5049,0.9999999882809203
13089,7874,0.9999945881313084,13860,0.9999945962867257,2016,0.9999946933153313,14634,0.9999948953969994,13656,0.9999949757669512
13088,10539,0.8773852221743508,5026,0.9251481095114643,1558,0.9996885187086804,10388,0.9996916054124797,9677,0.9997125903376298
13087,10394,0.9839842737543263,9709,0.9844539296536883,3821,0.9844589770481297,11830,0.9850591075518755,14266,0.9853779209826439
13086,307,0.5751479186435283,15038,0.5759244861830664,13290,0.5762372312416263,6280,0.9692070888678985,11295,0.9699029706518136
13085,2860,0.9999700874746641,2809,0.9999709378583648,14512,0.9999713936409449,14850,0.9999721817829607,17060,0.9999996535284432
13084,13831,0.9999999976177721,10793,0.9999999976265725,14099,0.99999999999965,13864,0.99999999999965,11000,1.0
13083,13096,1.0,13019,1.0,13017,1.0,13016,1.0,11718,1.0
13082,13662,0.9999680780282645,5137,0.9999697633434622,3923,0.9999889043890668,5657,0.9999993710106175,5652,0.9999999525647727
13081,1518,0.9999438295163025,2459,0.9999440231409024,1938,0.9999444039063109,4608,0.9999444130667429,11193,0.9999484537224516
13080,2906,0.9997600152273477,10623,0.9998696729199412,12811,0.9999965802915909,13950,0.9999977818723068,4309,0.9999990800556825
13079,16423,0.9998373171049357,7759,0.9998801481244929,11839,0.999918297251058,16463,0.999924194298789,15986,0.9999281691538386
13078,4394,0.9996733813885469,14358,0.9996737005759291,9819,0.999675267610556,9849,0.9996753976323477,14493,0.999679957613884
13077,11638,0.8553546510840115,12782,0.8566013662095875,6197,0.8581927539169226,15957,0.86511225597175,5562,0.9024059992982438
13076,6019,0.9999189055599552,16064,0.9999411920338335,4777,0.9999447852799742,6087,0.9999830917456511,16617,0.9999857455959326
13075,14521,0.9999878889054548,1901,0.9999890328538827,15823,0.9999914404501807,1469,0.9999918487054833,10035,0.9999920286224194
13074,12979,0.9995564945917816,13040,0.9996656138543178,9566,0.9996787851777822,13513,0.9997317784292284,12253,0.9997381108240324
13073,9585,0.7356492088397014,13077,0.7539858566639044,10614,0.9995389312811258,7016,0.9996395478660404,10540,0.9996896357211664
13072,10296,0.9999999999999889,13661,1.0,13020,1.0,12824,1.0,12414,1.0
13071,16796,0.9993037164414941,369,0.9993100279751361,10242,0.9993174020116964,14556,0.9993350783890133,14415,0.9993362778492174
13070,12369,0.5905216042297955,2375,0.9997596295556391,11064,0.9997913311342964,7826,0.9999871228379428,1953,0.9999883454895052
13069,8353,0.999997136014028,14593,0.9999972652742058,12188,0.9999999024940225,10951,0.9999999823773015,16237,0.9999999910332107
13068,2860,0.9999435084748048,13273,0.9999436502949633,15872,0.9999437162005953,15897,0.9999442317860527,13047,0.999952625633928
13067,6554,0.9998405991571001,8108,0.9998419796412592,7515,0.999843071336099,9141,0.9998477566527749,14267,0.9999167371724563
13066,10592,0.999940036379573,15468,0.9999439859648116,5506,0.9999455392934973,13993,0.9999495282778954,7388,0.9999513831072826
13065,8366,0.9999454689155133,2534,0.9999457936093065,12410,0.9999463548173564,13714,0.999946909801199,4168,0.9999563862787785
13064,15229,0.9999849797035404,11312,0.9999851407593265,11894,0.9999859767456691,16150,0.9999863596827979,7805,0.9999902941694253
13063,5788,0.9999534774112736,10722,0.9999563914725806,16417,0.9999585319958216,5908,0.999962304482554,10720,0.9999640276012609
13062,11389,0.999993091879586,16698,0.9999963104950509,13352,0.9999981825760517,13150,0.999998951837649,11891,0.9999996647259128
13061,13707,0.99995179193696,13659,0.9999849284183117,11971,0.9999849284183117,11955,0.9999849284183117,11499,1.0
13060,12410,0.9999888169021273,2534,0.9999892151235318,13931,0.9999899556004107,15127,0.9999921587777519,13714,0.999992249353743
13059,15676,0.9998291138807259,14645,0.9998314497616808,12213,0.9998327805134971,14780,0.9999134921866913,12001,0.9999737859950889
13058,9986,0.9999656808308298,15213,0.9999798753903117,7696,0.9999871438813818,3246,0.9999890893122874,1544,0.999989759598517
13057,5706,0.9999984397418746,15956,0.9999984411460755,10513,0.9999984697149861,16118,0.9999985041604156,11416,0.9999985311763293
13056,9874,0.9999287437785945,2117,0.9999344843542904,1522,0.999937731081812,15323,0.9999389734741438,4432,0.9999433082274236
13055,11887,0.9999787984882277,4299,0.9999810779898075,13567,0.9999813524772345,15500,0.9999814635437294,14634,0.9999827729609669
13054,3512,0.9996277486527892,17137,0.9996293484842749,5898,0.99964460376292,5195,0.999678055536065,8449,0.9997072179773047
13053,13331,0.9997584400703757,3512,0.9997588230309676,5315,0.9997593333028523,7961,0.9997623305557282,5195,0.9999563128488516
13052,15317,0.9999742166551083,10596,0.9999753110275177,5946,0.9999922629556757,14351,0.9999991685261201,15568,0.9999994953949989
13051,11645,0.7079523644824528,13311,0.7230845490176193,15166,0.9694936608417632,4895,0.9696046017522014,10593,0.9747214463240835
13050,14659,0.9999474199156693,12719,0.9999474556891998,15013,0.9999477615003282,11075,0.9999551273198493,1054,0.9999997261084312
13049,11054,0.9992207898153316,99,0.999237300342392,2606,0.9992758437478642,495,0.9993100252868775,8886,0.9998862701623399
13048,6246,0.9572180014667299,10935,0.9990641582451208,7383,0.9994080541025263,16316,0.9994432964117272,10501,0.9994434169512874
13047,9101,0.9999863471105217,9100,0.9999863471105217,7901,0.9999863471105217,14329,0.9999863702008535,13273,0.9999881929011551
13046,11330,0.6885264422589479,4618,0.688979118527489,1974,0.7401651624794374,8473,0.7408025483504235,4280,0.7419818984659122
