Number,W2V_google_0,W2V_google_score0,W2V_google_1,W2V_google_score1,W2V_google_2,W2V_google_score2,W2V_google_3,W2V_google_score3,W2V_google_4,W2V_google_score4
12788,14724,0.9998102701207889,9291,0.9998111110405815,17007,0.9998140323327298,16704,0.9998144506386432,16037,0.9998162724508751
12787,13180,0.9999943539076258,8956,0.9999943539076258,8711,0.9999943539076258,10205,0.9999943553005002,5665,0.9999944262458093
12786,6958,0.9998847099609537,8813,0.99992335245326,6606,0.9999936213849251,13394,0.9999936621433662,6401,0.9999995734151187
12785,7244,0.9997825005808257,11144,0.9997865367811974,9907,0.9998033425467701,14836,0.999813586148352,3331,0.9998220898372828
12784,15001,0.9999781225127171,13984,0.9999786985999995,16551,0.9999794660220387,11157,0.9999798895742205,685,0.9999800769961922
12783,1199,0.9999688798824506,14515,0.9999772519297927,10691,0.9999810122191577,8119,0.9999859683289682,4880,0.9999870472354638
12782,599,0.9884197918178211,16267,0.9884918293126946,4847,0.9885066225908966,11684,0.988855326424026,3556,0.9889441040208173
12781,4757,0.9999253318668593,6367,0.999925403801895,1799,0.9999254956378314,11611,0.9999255652227909,10990,0.9999508686356392
12780,7983,0.9999995146263201,16121,0.9999997331312754,1100,0.9999998175833391,17003,0.9999998942406999,8977,0.9999999982317315
12779,1119,0.7570591642583507,11363,0.8172945926019543,4290,0.9997725528106194,3770,0.9997758374615746,5192,0.9997997622514125
12778,13532,0.9999996930659057,10741,0.9999999134854605,12661,0.9999999202013281,12212,0.9999999202013281,12489,1.0
12777,9215,0.9999758371363259,8955,0.9999889664762077,11324,0.9999903896190111,7946,0.9999932993102871,12669,0.9999934180047139
12776,14022,0.9998965760413395,11719,0.9998979464625323,14159,0.999899077631917,14657,0.9999003214983304,5249,0.999909035814287
12775,12816,0.8167049027408188,15825,0.8168542109509497,13193,0.817693964752944,3279,0.9996130240660821,13018,0.9998364210708837
12774,3556,0.9985539269577515,16399,0.9985923323346046,15090,0.9986354805093327,5312,0.9986444237006676,2817,0.9998485274100128
12773,1321,0.40285194270776925,12367,0.40622580079940473,223,0.4125823443556526,13853,0.9016958983722776,15430,0.9040005076097518
12772,1397,0.4145006221644769,4652,0.41457952181136565,2020,0.4149276448183165,14822,0.4149498098710683,1958,0.4149738199208369
12771,10273,0.9999999819429933,13613,0.9999999819432214,987,0.9999999979267151,14528,1.0,9288,1.0
12770,6816,0.9994623471316899,5491,0.9994648135174548,5453,0.9994717310235106,13744,0.9994753054182535,969,0.9999993888478103
