Number,W2V_glove_0,W2V_glove_score0,W2V_glove_1,W2V_glove_score1,W2V_glove_2,W2V_glove_score2,W2V_glove_3,W2V_glove_score3,W2V_glove_4,W2V_glove_score4
16323,11311,0.4978345267887274,2927,0.5025132403367896,1782,0.5027061967549348,2360,0.5048971428055701,10390,0.9995337220992773
16322,10513,0.9999789277490311,13508,0.9999789343635278,7303,0.9999790036757377,4943,0.9999968103539226,16733,0.9999974332862673
16321,10746,0.5952075586930534,5324,0.6212600742578954,11537,0.9997495485144379,17110,0.9999132959713757,9881,0.999916985855505
16320,5670,0.9998995397515167,8477,0.9999335100763181,1284,0.9999382553942534,13805,0.9999588539655632,15602,0.9999754242265682
16319,2905,0.49054501651778004,9342,0.4909133664581997,4069,0.4914669396669184,5035,0.8890374067332211,12542,0.9999135638332857
16318,16244,0.9999776477090441,16302,0.9999935493905191,12388,0.9999979437622103,16785,0.9999979566874987,11462,0.9999982412606521
16317,13042,0.4054769958796674,4258,0.4055983603484461,9810,0.4515575936445818,301,0.46194484564846217,7766,0.46408320680173243
16316,6246,0.9912952111478183,10935,0.9997083471702094,13048,0.9997241858936657,10501,0.9999448848628323,7383,0.9999762997621082
16315,9452,0.9999999998671218,5738,0.9999999998671218,5633,0.9999999998671218,11404,0.9999999998749066,16408,0.9999999999626337
16314,4373,0.9997454315524089,710,0.9998656666595276,757,0.9999175854791705,12049,0.9999552504702152,8311,0.9999767278658295
16313,9458,0.48885717258884054,4812,0.9934471435614471,12030,0.9986466809085102,16300,0.9997789393167278,5854,0.9998823006599497
16312,9146,0.9999478388218263,8777,0.999972442564978,8990,0.999977665903173,952,0.9999823167082358,10218,0.9999878409847199
16311,15104,0.9999829962250085,7665,0.9999891696536047,3430,0.999992997142067,11787,0.9999946741990051,6026,0.9999969396756505
16310,16474,0.9999999970919168,16247,0.9999999970919168,16562,0.9999999976045468,16357,0.9999999976045468,16125,0.9999999976045468
16309,2767,0.9996250081672167,4864,0.9996265059373475,11933,0.9996298491544442,638,0.9996309984185563,14010,0.9996310552748395
16308,6247,0.9999637226397936,6261,0.9999794888288952,8067,0.9999848213128704,13187,0.999987331425948,1699,0.9999960125745162
16307,5054,0.999973577852471,4852,0.9999754735036056,12060,0.9999769003060086,11936,0.9999770817390166,15254,0.99998989922328
16306,15966,0.999999893043893,15634,0.999999893043893,15570,0.999999893043893,16163,1.0,14277,1.0000000000000002
16305,4183,0.999825916002628,7349,0.9998274215031788,6552,0.9998286537409461,6533,0.9998315379872493,8345,0.9998322671702042
16304,2766,0.9998630274281057,8529,0.9998816799890463,6347,0.9998837512973711,15412,0.9998983347135123,9425,0.999898815744169
16303,15534,0.999928359309617,6760,0.9999346116678218,5185,0.9999408666592859,9929,0.9999475451162977,6303,0.9999569228160694
16302,12388,0.9999842194247256,16785,0.9999842451501871,16318,0.9999935493905191,16244,0.9999952124922742,11462,0.999998522032881
16301,17036,0.9999999026697111,16940,0.9999999026697111,16619,0.9999999115687043,15718,0.9999999115687043,16229,1.0
16300,9458,0.48654650559655677,4812,0.9931838622230035,12030,0.9985277555728785,16313,0.9997789393167278,5854,0.9998398878855815
16299,12956,0.9999857666519549,8192,0.9999885063659095,6018,0.9999984212175506,9529,0.9999993216999455,3590,0.9999997464916383
16298,15401,0.9999998396595933,15663,0.9999999999999999,14278,0.9999999999999999,16292,1.0,16256,1.0
16297,16070,0.9999893255275422,16740,0.9999905960315094,12495,0.9999909798739876,2895,0.9999916222042783,8927,0.9999918167635737
16296,15829,0.9999998556650913,15401,1.0,15311,1.0,15185,1.0,14138,1.0
16295,14071,0.9998775638283016,8250,0.9998826702206569,5038,0.9999076548366952,3002,0.9999076548366952,3001,0.9999076548366952
16294,13031,0.5476851319323004,14636,0.5482579477307333,2311,0.5509489298108142,2068,0.5515241623271301,194,0.552689028815459
16293,3880,0.693271446169946,13636,0.6933026559767023,11978,0.6935816346735773,8348,0.6941223698513751,1065,0.6943033985834727
16292,15401,0.9999998396595933,15663,0.9999999999999999,14278,0.9999999999999999,16298,1.0,16256,1.0
16291,5738,0.9999477706820249,7592,0.999948005231795,7303,0.9999480397551649,3558,0.9999484408217113,8722,0.9999501891400681
16290,8408,0.9999284446927901,7475,0.9999285913088116,14159,0.9999287443048943,16170,0.9999289353629954,10676,0.9999297158782551
16289,16551,0.9999894928141525,3251,0.9999907232751106,13984,0.9999914873871246,11157,0.9999924108463915,685,0.9999936337129234
16288,11211,0.4373856994107493,11185,0.43765846271457626,11381,0.4902352379024181,12199,0.5013796245906432,3749,0.999407447627421
16287,5785,0.2979638992803573,10539,0.30274005950269134,1770,0.32790272327990283,16707,0.3675514766552714,4830,0.9997640004460153
16286,3731,0.9994878738989966,14891,0.9995442339007494,13667,0.9995679711181346,14404,0.9995806648559503,8008,0.9996063333185413
16285,17135,0.9999478211267113,15074,0.9999483434510303,16455,0.999951759438581,8869,0.9999552661331033,16899,0.9999575282145917
16284,2237,0.9931446559437602,11711,0.995744331072861,3226,0.9958934501585073,8698,0.9986263313093141,8525,0.9988512402938484
16283,16446,0.9999948018393925,1459,0.999995361299251,14272,0.9999968055246858,1044,0.9999974419264672,12858,0.9999987134235643
16282,12926,0.9999956788599392,9954,0.9999957319011589,8490,0.9999957403031907,14416,0.9999958026183672,15974,0.9999958497606767
16281,16275,1.0,16110,1.0,16105,1.0,15829,1.0,14728,1.0
16280,8179,0.32260279611690823,3187,0.33546493699083574,2507,0.33546617703886156,9353,0.3360144079692976,14534,0.336026050791179
16279,10214,0.9999691336298417,8355,0.9999725517255984,16103,0.9999990792665436,16185,0.9999999901762124,16073,0.9999999983123007
16278,6072,0.9998686389575708,16333,0.9998921870754996,15784,0.9999038767284527,14768,0.9999306826970914,3520,0.9999342089781201
16277,8809,0.9998095781530792,6515,0.9998149958563748,13522,0.9998194907864394,7561,0.9998226942731923,14542,0.9998571823124648
16276,10085,0.9999867748256527,5356,0.9999920784684861,8004,0.9999923209020327,13263,0.9999957638277381,16614,0.9999974003042978
16275,16281,1.0,16110,1.0,16105,1.0,15829,1.0,14728,1.0
16274,10554,0.9999496287004711,6988,0.9999576743659546,10666,0.9999733652113728,14031,0.9999796673732076,7178,0.999991817443832
16273,15858,0.9999878625720859,16613,0.9999890273258528,15592,0.9999900514804463,16672,0.9999934974949403,15927,0.9999975353275525
