Number,score_0,score_1,score_2,score_3,score_4,similar_0,similar_1,similar_2,similar_3,similar_4
17132,0.94398477093814,0.9443600596318722,0.9471175170076632,0.9766379317858762,0.9971823386495906,17017,17122,17018,17133,17128
17131,0.7861821500608721,0.788842433287632,0.7970166310950051,0.7983293609139904,0.8157488077565045,9961,16320,15780,14829,11691
17130,0.8476559542269438,0.8550689449205127,0.8568550703536107,0.8576921599157876,0.8810867702756315,9830,16106,1515,7826,16228
17129,0.9224676803455519,0.9225450823698343,0.9228253080267906,0.9240760438438106,0.9255550451930495,16871,3911,15865,16100,16715
17128,0.940213572733269,0.9409251891042352,0.9447038356745666,0.9733168969571476,0.9971823386495906,17017,17122,17018,17133,17132
17126,0.8832688001130337,0.8832971287723369,0.886939209242953,0.8870646285738193,0.8900139411698759,528,6848,7665,671,1758
17124,0.8431368903342883,0.8518897976518363,0.8617636804210701,0.8739149768073823,0.8782943803285314,689,9453,135,4636,10854
17123,0.9365878163391269,0.9378906349913877,0.9428278214503412,0.9480667153920996,0.953141585597098,16049,16703,17110,16655,17061
17122,0.9663941085135971,0.9689032666682945,0.9717258603602675,0.9746971188045039,0.9959798647804938,17018,17119,17134,17145,17017
17121,0.7044140799445454,0.7186847877867536,0.7239159316195815,0.739470127679739,0.7741646842478422,2685,16773,4133,12515,8444
17120,0.9103915973910659,0.9103916514758115,0.9103916514758115,0.9103916514758115,0.9103916514758115,13030,4730,1027,769,374
17119,0.9689032666682945,0.9704238033095766,0.9752330112571492,0.9863298166467982,0.9864077093440411,17122,17017,17150,17134,17145
17118,0.8853469893853629,0.8876563272308943,0.8884512318932739,0.9005221728331204,0.9021962727080369,2859,16517,14395,13103,15164
17117,0.926487240171275,0.9274409819375514,0.9280893859841427,0.9301486289978795,0.9303659516572262,7162,15124,16870,7851,6129
17116,0.948548548649716,0.9487608903462342,0.9489678181411593,0.9511152225153106,0.9574095414299035,17134,17017,17119,17145,17122
17115,0.8897517090080386,0.8899196293195738,0.8906727597412465,0.896815792996132,0.9034676140253282,6832,2762,14899,12524,3056
17114,0.8659396065424263,0.8723928270595784,0.8723928270595784,0.8733969493230264,0.8739009797348433,490,17072,17071,17073,11266
17113,0.9234915576224493,0.923511041338347,0.9249065188741779,0.9300845023686245,0.944036613532347,16807,16905,15892,16855,16928
17112,0.8911732949585958,0.8936100526844444,0.8938826750582847,0.8945643250215636,0.8984998627416236,511,12390,3905,10718,3981
17111,0.9167909912336064,0.9174215771638713,0.9211866822304302,0.9276556787062002,0.938899493815267,16842,16893,16843,17008,12719
17110,0.9474451293091252,0.9475613870023359,0.9486090442127534,0.9491223694889183,0.9554404387106692,16855,16655,16402,17032,17061
17109,0.7677729473823244,0.7704405103402159,0.7723978903934946,0.7726309459099803,0.794014378795985,5002,10345,17051,7852,13336
17108,0.9495550551603392,0.9500487673881779,0.9512632743515212,0.9513639842246714,0.9563345984111659,16935,16879,16913,17163,16846
17107,0.8863409406787621,0.8880611581736391,0.8881072432018889,0.8906600044734243,0.8913218054936681,4486,16496,4493,9138,10662
17100,1.0,1.0,1.0,1.0,1.0,17179,17178,14157,13618,11589
17099,0.9545380335743416,0.9548208483804032,0.9554373906663978,0.9574257706780589,0.9603189487680774,17134,17059,17145,17122,17017
17098,0.6759012231908371,0.6771394427710744,0.7059585607860639,0.7117996129737951,0.7139882608101784,8781,14083,13324,424,287
17096,0.8881579425278713,0.8884325534415051,0.8885081356135277,0.8929448886019625,0.893253385866706,3798,15253,8005,11846,12406
17094,0.9100820729375801,0.9184648195940909,0.9186129343722267,0.9197442352856501,0.9286571359638509,15496,15892,17163,16905,17020
17093,0.8406671268728199,0.8422661415389747,0.8429760573796623,0.8446880534027523,0.8531790546456686,10391,14316,11570,2245,4938
17092,0.8197201004670588,0.8209084354220619,0.8272037436211624,0.8345991201269397,0.8512171091580981,14555,13898,857,5802,9863
17091,0.7871303925689745,0.787555991636559,0.7894494102817776,0.7899980711503672,0.8070658386313438,10332,1648,1715,11092,13252
17090,0.8500994945108205,0.851332195263888,0.8691061223071018,0.8873620013299224,0.8960553897962897,2416,2547,5497,15846,8486
17089,0.9142906435317695,0.9153734272195093,0.926493547323269,0.937685437899739,0.946416740307718,11561,14612,12853,10052,9463
17088,0.9036406547016883,0.909313855076778,0.9146223406718368,0.9155841483575312,0.924337078027156,11469,13467,11938,10734,8795
17087,0.8554511336062686,0.8560438117272618,0.8561761911102567,0.8840720816916785,0.892276573261223,13502,10953,8786,13380,11366
